transaction_id,customer_id,product_id,rep_id,deal_value,quantity,discount_pct,status,stage,created_date,close_date,expected_close_date,lead_source,notes
T063,C043,P004,R006,75600,3,0.10,Closed Won,Closed,2023-11-20,2024-02-15,2024-02-20,Upsell,Defense security expansion
T064,C002,P005,R001,46800,1,0.10,Closed Won,Closed,2023-11-25,2024-01-08,2024-01-10,Upsell,CloudFirst automation
T065,C006,P002,R002,40500,1,0.10,Closed Won,Closed,2023-12-01,2024-02-12,2024-02-15,Upsell,Energy analytics
T066,C009,P004,R008,25200,1,0.10,Closed Won,Closed,2023-12-05,2024-01-25,2024-01-30,Upsell,Logistics security
T067,C013,P003,R008,28800,1,0.10,Closed Won,Closed,2023-12-10,2024-02-08,2024-02-15,Upsell,Consulting integration
T068,C015,P005,R004,46800,1,0.10,Closed Won,Closed,2023-12-15,2024-02-20,2024-02-25,Upsell,Auto parts automation
T069,C019,P003,R001,28800,1,0.10,Closed Won,Closed,2023-12-20,2024-02-05,2024-02-10,Upsell,VC integration
T070,C022,P005,R009,46800,1,0.10,Closed Won,Closed,2023-12-25,2024-02-28,2024-03-01,Upsell,Media automation
T071,C024,P002,R004,40500,1,0.10,Pipeline,Negotiation,2024-01-05,,,Website,Agriculture analytics - in progress
T072,C026,P001,R001,71250,1,0.05,Pipeline,Proposal,2024-01-10,,,Trade Show,Electronics platform - proposal sent
T073,C029,P005,R005,46800,1,0.10,Pipeline,Discovery,2024-01-15,,,Outbound,Security automation - early stage
T074,C030,P002,R007,40500,1,0.10,Pipeline,Negotiation,2024-01-20,,,LinkedIn,Environmental analytics
T075,C031,P001,R002,71250,1,0.05,Pipeline,Proposal,2024-01-25,,,Referral,Telecom platform expansion
T076,C033,P005,R007,46800,1,0.10,Pipeline,Discovery,2024-02-01,,,Website,Analytics automation
T077,C034,P009,R004,76500,1,0.10,Pipeline,Proposal,2024-02-05,,,Trade Show,Manufacturing DW
T078,C036,P002,R005,40500,1,0.10,Pipeline,Qualification,2024-02-10,,,Outbound,Sports analytics
T079,C037,P001,R001,71250,1,0.05,Pipeline,Negotiation,2024-02-15,,,LinkedIn,Display platform - near close
T080,C038,P003,R007,28800,1,0.10,Pipeline,Discovery,2024-02-20,,,Website,Resort integration
